item_date,customer,country,status,item type,application,width,product_ref,delivery date,quantity_tons_log,thickness_log,selling_price_log,Date_difference,item_date_day,item_date_month,item_date_year
2021-03-26,30217269.0,32.0,1.0,3.0,20.0,1655.0,164141591.0,2021-03-01,2.8345594999346266,-0.5978370007556204,7.046647277848756,-25,26,3,2021
2021-03-26,30353979.0,26.0,1.0,3.0,10.0,1132.0,164141591.0,2021-03-01,3.1583349804423424,0.9162907318741551,6.754604099487962,-25,26,3,2021
2021-03-25,30267349.0,84.0,1.0,5.0,10.0,1328.0,164141591.0,2021-01-01,4.162748683540791,0.6931471805599453,6.725033642166843,-83,25,3,2021
2021-03-25,30206203.0,26.0,1.0,5.0,41.0,1250.0,611993.0,2021-01-01,4.810161812223264,-0.6931471805599453,6.86484777797086,-83,25,3,2021
2021-03-25,30198408.0,25.0,1.0,3.0,10.0,1345.0,1668701718.0,2021-01-01,3.2775563954173834,0.0,6.6293632534374485,-83,25,3,2021
2021-03-25,30198408.0,25.0,1.0,3.0,10.0,1333.0,1668701718.0,2021-01-01,3.5179581509823117,0.0,6.630683385642372,-83,25,3,2021
2021-03-25,30198408.0,25.0,1.0,3.0,10.0,1445.0,1668701718.0,2021-01-01,3.2941592254780043,-0.5108256237659907,6.71295620067707,-83,25,3,2021
2021-03-25,30267349.0,84.0,3.0,5.0,10.0,1230.0,164141591.0,2021-01-01,1.2390788705526152,0.6931471805599453,6.677247175804874,-83,25,3,2021
2021-03-25,30267349.0,84.0,4.0,5.0,10.0,915.0,628377.0,2021-01-01,1.1163266926985267,0.1823215567939546,6.61091136473797,-83,25,3,2021
2021-03-25,30267349.0,84.0,3.0,5.0,10.0,1428.0,164141591.0,2021-01-01,1.1574043322599064,0.1823215567939546,6.862705610428413,-83,25,3,2021
2021-03-25,30198408.0,25.0,1.0,2.0,10.0,1500.0,1693867550.0,2021-01-01,3.318079554958497,0.4054651081081644,6.584791392385716,-83,25,3,2021
2021-03-25,30198408.0,25.0,1.0,2.0,10.0,1500.0,1693867550.0,2021-01-01,3.0144593756213856,1.0986122886681098,6.568077911411976,-83,25,3,2021
2021-03-25,30198408.0,25.0,1.0,2.0,10.0,1500.0,1332077137.0,2021-01-01,4.460844365908508,0.6931471805599453,6.543911845564792,-83,25,3,2021
2021-03-24,30354180.0,25.0,1.0,3.0,2.0,1500.0,640405.0,2021-03-01,2.8927956085509083,1.3862943611198906,6.917705609835305,-23,24,3,2021
2021-03-24,30213626.0,78.0,1.0,5.0,41.0,1250.0,611993.0,2021-03-01,2.694822756238535,-0.6931471805599453,6.999422467507961,-23,24,3,2021
2021-03-24,30213626.0,78.0,1.0,5.0,41.0,1250.0,611993.0,2021-03-01,2.9062767054158636,-0.6931471805599453,7.007600613951853,-23,24,3,2021
